osmid,y,x,street_count,ref,highway,geometry
420510938,16.3608423,107.7342664,3,,,POINT (107.7342664 16.3608423)
420511052,16.3267453,107.7610638,3,,,POINT (107.7610638 16.3267453)
619882762,16.3416612,107.4416699,3,,,POINT (107.4416699 16.3416612)
619882796,16.3518538,107.44726,3,,,POINT (107.44726 16.3518538)
619882820,16.3539342,107.4476358,3,,,POINT (107.4476358 16.3539342)
619882907,16.3501257,107.4975107,3,,,POINT (107.4975107 16.3501257)
619882959,16.3577111,107.5234887,3,,,POINT (107.5234887 16.3577111)
619882979,16.3627331,107.5341047,3,,,POINT (107.5341047 16.3627331)
1025708135,16.3424076,107.740958,3,,,POINT (107.740958 16.3424076)
1616384353,16.143569,107.7547419,3,,,POINT (107.7547419 16.143569)
1616384377,16.1447972,107.7514977,3,,,POINT (107.7514977 16.1447972)
1616384644,16.1458441,107.7428844,3,,,POINT (107.7428844 16.1458441)
1616384767,16.1514778,107.7296645,3,,,POINT (107.7296645 16.1514778)
1616384859,16.1571865,107.7281788,3,,,POINT (107.7281788 16.1571865)
1616384879,16.1594917,107.7267061,3,,,POINT (107.7267061 16.1594917)
1616384882,16.1595624,107.7265762,3,,,POINT (107.7265762 16.1595624)
1616384890,16.1599021,107.7260761,3,,,POINT (107.7260761 16.1599021)
1616384937,16.1614186,107.7256945,3,,,POINT (107.7256945 16.1614186)
1616385000,16.1674935,107.7248386,3,,,POINT (107.7248386 16.1674935)
1616385007,16.1679523,107.7188473,5,,,POINT (107.7188473 16.1679523)
1616664731,16.113004,107.675191,1,,,POINT (107.675191 16.113004)
1616664871,16.1175473,107.6535314,4,,,POINT (107.6535314 16.1175473)
1616664959,16.1204537,107.656213,3,,,POINT (107.656213 16.1204537)
1616664961,16.1207646,107.6568409,3,,,POINT (107.6568409 16.1207646)
1616664984,16.1216107,107.6834665,3,,,POINT (107.6834665 16.1216107)
1616665004,16.1225024,107.6603156,3,,,POINT (107.6603156 16.1225024)
1616665033,16.1240939,107.6630869,3,,,POINT (107.6630869 16.1240939)
1616665039,16.1245921,107.6849578,3,,,POINT (107.6849578 16.1245921)
1616665054,16.1252461,107.6701281,3,,,POINT (107.6701281 16.1252461)
1616665163,16.1268607,107.6669656,4,,,POINT (107.6669656 16.1268607)
1616665165,16.1271103,107.6847625,3,,,POINT (107.6847625 16.1271103)
1616665166,16.1271183,107.6756958,3,,,POINT (107.6756958 16.1271183)
1616665192,16.1284411,107.6807179,3,,,POINT (107.6807179 16.1284411)
1616665204,16.1288375,107.6851259,3,,,POINT (107.6851259 16.1288375)
1616665208,16.1288867,107.6829398,3,,,POINT (107.6829398 16.1288867)
1616665259,16.1298251,107.677236,3,,,POINT (107.677236 16.1298251)
1616665280,16.1306161,107.6854247,3,,,POINT (107.6854247 16.1306161)
1616665643,16.151402,107.6996397,3,,,POINT (107.6996397 16.151402)
