osmid,y,x,street_count,highway,ref,geometry
420025877,16.4832458,107.5502465,3,,,POINT (107.5502465 16.4832458)
420025881,16.481905,107.5553516,3,,,POINT (107.5553516 16.481905)
420025905,16.419021,107.567577,3,,,POINT (107.567577 16.419021)
420025906,16.4184368,107.5687481,3,,,POINT (107.5687481 16.4184368)
420025908,16.4184906,107.5701075,3,,,POINT (107.5701075 16.4184906)
420025909,16.42433,107.5795002,3,,,POINT (107.5795002 16.42433)
420025914,16.4224845,107.5778914,3,,,POINT (107.5778914 16.4224845)
420025938,16.4218562,107.5803711,3,,,POINT (107.5803711 16.4218562)
420025939,16.4174804,107.5821282,3,,,POINT (107.5821282 16.4174804)
420025940,16.4188035,107.5813957,3,,,POINT (107.5813957 16.4188035)
420025945,16.436375,107.5697314,3,,,POINT (107.5697314 16.436375)
420025955,16.4381143,107.5795852,3,,,POINT (107.5795852 16.4381143)
420025956,16.4371285,107.5788343,3,,,POINT (107.5788343 16.4371285)
420025958,16.4386303,107.5807771,3,,,POINT (107.5807771 16.4386303)
420025972,16.4357051,107.5623681,3,,,POINT (107.5623681 16.4357051)
420026039,16.3905175,107.5687988,3,,,POINT (107.5687988 16.3905175)
420026049,16.3832303,107.5679969,3,,,POINT (107.5679969 16.3832303)
420026062,16.3881321,107.5708498,3,,,POINT (107.5708498 16.3881321)
420026070,16.408232,107.588981,3,,,POINT (107.588981 16.408232)
420026072,16.3968963,107.5896752,3,,,POINT (107.5896752 16.3968963)
420026082,16.3952407,107.5792184,3,,,POINT (107.5792184 16.3952407)
420026091,16.4183449,107.5661836,3,,,POINT (107.5661836 16.4183449)
420026094,16.4178993,107.5660808,3,,,POINT (107.5660808 16.4178993)
420026104,16.397743,107.5771113,3,,,POINT (107.5771113 16.397743)
420026109,16.3980827,107.577063,3,,,POINT (107.577063 16.3980827)
420026113,16.3880899,107.5725192,5,,,POINT (107.5725192 16.3880899)
420026114,16.3955489,107.5787865,4,,,POINT (107.5787865 16.3955489)
420026123,16.4782165,107.5978293,1,,,POINT (107.5978293 16.4782165)
420026132,16.4782976,107.5961786,3,,,POINT (107.5961786 16.4782976)
420026150,16.4788956,107.596838,3,,,POINT (107.596838 16.4788956)
420026153,16.4783132,107.5970113,3,,,POINT (107.5970113 16.4783132)
420026154,16.4784446,107.5967786,1,,,POINT (107.5967786 16.4784446)
420026161,16.4792683,107.5971101,1,,,POINT (107.5971101 16.4792683)
420026164,16.4779783,107.5969742,3,,,POINT (107.5969742 16.4779783)
420026186,16.4531614,107.597516,1,,,POINT (107.597516 16.4531614)
420026228,16.4790935,107.5957989,3,,,POINT (107.5957989 16.4790935)
420026286,16.488615,107.6024937,4,,,POINT (107.6024937 16.488615)
420026288,16.4888051,107.6042085,3,,,POINT (107.6042085 16.4888051)
420026298,16.4884414,107.598874,4,,,POINT (107.598874 16.4884414)
420026301,16.484232,107.6051879,3,,,POINT (107.6051879 16.484232)
420026303,16.4893865,107.5979687,3,,,POINT (107.5979687 16.4893865)
420026304,16.4886954,107.603147,3,,,POINT (107.603147 16.4886954)
420026305,16.4925032,107.6029548,3,,,POINT (107.6029548 16.4925032)
420026306,16.4924467,107.6017433,3,,,POINT (107.6017433 16.4924467)
420026307,16.4885687,107.6019089,3,,,POINT (107.6019089 16.4885687)
420026308,16.4885327,107.6011204,4,,,POINT (107.6011204 16.4885327)
420026309,16.4902404,107.596684,3,,,POINT (107.596684 16.4902404)
420026311,16.4896757,107.5982359,4,,,POINT (107.5982359 16.4896757)
420026314,16.4935144,107.5981845,3,,,POINT (107.5981845 16.4935144)
420026369,16.4877958,107.5981673,3,,,POINT (107.5981673 16.4877958)
420026371,16.4874062,107.5997175,3,,,POINT (107.5997175 16.4874062)
420026372,16.4852817,107.5988673,3,,,POINT (107.5988673 16.4852817)
420026393,16.4770776,107.6005028,4,,,POINT (107.6005028 16.4770776)
420026394,16.4771111,107.6010419,4,,,POINT (107.6010419 16.4771111)
420026397,16.478626,107.6009427,4,,,POINT (107.6009427 16.478626)
420026400,16.4745056,107.6010794,4,,,POINT (107.6010794 16.4745056)
420026402,16.4757376,107.601164,4,,,POINT (107.601164 16.4757376)
420026404,16.4733456,107.6003579,1,,,POINT (107.6003579 16.4733456)
420026406,16.4849217,107.5997685,3,,,POINT (107.5997685 16.4849217)
420026410,16.4868352,107.6006563,4,,,POINT (107.6006563 16.4868352)
420026427,16.4736799,107.599961,1,,,POINT (107.599961 16.4736799)
