Name,Interests,Mood,img_url,Link_ggmap,Tọa độ,Vote,Reviews,Price,From,To,Địa Chỉ,,interest,const_num,,mood,const_num,budget
Chùa Từ Hiếu,13,4,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Tu_Hieu_Pagoda.jpg/640px-Tu_Hieu_Pagoda.jpg,https://maps.app.goo.gl/8VR2SG5SpEvEJmMDA,"16.4388776,107.572025",4.8,1326,0,all time,all time,"Duong Xuan Thuong III village, Thủy Xuân, Thành phố Huế, Thừa Thiên Huế",,architecture,1,,roadtrip,1,high
Chùa Báo Quốc,13,4,https://statics.vinpearl.com/chua-bao-quoc-2_1633439462.jpg,https://maps.app.goo.gl/gn32TWJE6U1jXVZh8,"16.4540694,107.5796183",4.4,191,0,all time,all time,"17 Bảo Quốc, Phường Đúc, Thành phố Huế, Thừa Thiên Huế",,art,2,,vintage,2,low
Chùa Giác Lương,13,4,https://thuathienhue.gov.vn/Portals/0/Medias/Nam2022/T7/anhchuagiacluong.2022.07.4..jpg,https://maps.app.goo.gl/wa1aKw4a3bGf7q5MA,"16.5514623,107.467452",4.8,4,0,all time,all time,"Phong Hiền, Phong Điền, Thừa Thiên Huế",,culture,3,,romantic,3,
Chùa Thánh Duyên,13,4,https://upload.wikimedia.org/wikipedia/commons/a/ae/Chua_thanh_duyen.jpg,https://maps.app.goo.gl/12z5HPZxwGnpi5EKA,"16.3430157,107.8898463",5.0,1,0,all time,all day ,"Thôn Một, Phú Lộc, Thừa Thiên Huế",,heritage,4,,spiritual,4,
Chùa Từ Đàm Huế,13,4,https://thuathienhue.gov.vn/Portals/0/Medias/Nam2022/T8/M_20220803_tudam1.jpg,https://maps.app.goo.gl/cT4vWKRsQKRXhviT8,"16.4517449,107.5815502",4.6,761,0,06.00 am,9.00 pm,"1 Sư Liễu Quán, Trường An, Thành phố Huế, Thừa Thiên Huế",,history,5,,city explorer,5,
Chùa Phật Đứng Huế,123,4,https://www.geoholidayclub.org/wp-content/uploads/2018/05/tuongphat680x0-1497950244.jpg,https://maps.app.goo.gl/rWAwag24KoMBXVLY8,"16.392005,107.5842296",4.7,609,0,all time,all time,"Thủy Bằng, Hương Thủy, Thừa Thiên Huế",,market,6,,shopping,6,
Chùa Thiên Mụ,124589,349,https://ik.imagekit.io/tvlk/blog/2023/06/chua-thien-mu-1.jpg,https://maps.app.goo.gl/cbAAKwHnasvbCoXZ7,"16.4531082,107.5449069",4.5,14323,0,8.00 am,6.00 pm,"Hương Hòa, Thành phố Huế, Thừa Thiên Huế ",,museum,7,,photography,7,
Huyền Không Sơn Thượng,12389,49a,https://imgcdn.tapchicongthuong.vn/tcct-media/23/8/13/lac-buoc-giua-chon-bong-lai-tien-canh-huyen-khong-son-thuong_64d87348dcd34.jpg,https://maps.app.goo.gl/mUpQsgaPDwpX8Tym8,"16.4512429,107.4941086",4.7,182,0,all time,all time," Chầm, Hương Hồ, Hương Trà, Thừa Thiên Huế",,nature,8,,beach-loving,8,
Thiền viện Trúc Lâm Bạch Mã,12389,49a,https://static.vinwonders.com/production/thien-vien-truc-lam-bach-ma-hue-1.jpg,https://maps.app.goo.gl/ZQQcZMKqLfGwczfi9,"16.2462431,107.7927272",4.6,456,,6.00 Am,5.00 PM,"Lộc Điền, Phú Lộc, Thừa Thiên Huế",,wellness,9,,sightseeing,9,
Chùa Thiên Minh,13,4,https://static.vinwonders.com/production/chua-thien-minh-1.jpeg,https://maps.app.goo.gl/nng8k1jXbGZwsgwMA,"16.4532094,107.5812423",4.5,41,0,,,"91 Điện Biên Phủ, Trường An, Thành phố Huế, Thừa Thiên Huế",,ruin,0,,cuisine,0,
Chùa Diệu Đế,13,4,https://statics.vinwonders.com/chua-dieu-de-1_1633493534.jpg,https://maps.app.goo.gl/aZyvW7kGiAk5P9X98,"16.4778855,107.5874966",4.5,264,,5.30 AM,9.00 PM," Bạch Đằng, Phú Cát, Thành phố Huế, Thừa Thiên Huế",,workshop,a,,relax,a,
