Tên,Googlemap,Link ảnh,Tọa độ,Đánh giá,Số lượng đánh giá,Địa chỉ
Gánh Đậu Hũ Chùa Thiên Mụ (Cô Kim Oanh),https://maps.app.goo.gl/foEksbxFbx4bJKxS9,https://nhahangcontoc.com/wp-content/uploads/2023/04/dau-hu1-e1680337686367.jpg,"16.453857,107.5394534","4,7",10,"54, Đường Văn Thánh, Nguyễn Phúc Nguyên, Hương Hồ, Hương Trà, Thừa Thiên Huế"
Bánh ép Gia Di Huế,https://maps.app.goo.gl/sKa9CYBVCynR932x6,https://thanhphohue.net/wp-content/uploads/2023/12/banh_ep_hue_08.jpg,"16.4579408,107.5732691","4,6",1273,"4 Phùng Chí Kiên, Xuân Phú, Thành phố Huế, Thừa Thiên Huế"
Bánh Ép Cây Sứ,https://maps.app.goo.gl/Uji8LtuRdfv3gfeM6,https://ticotravel.com.vn/wp-content/uploads/2022/06/Banh-ep-hue-3-800x600.jpg,"16.477005,107.5413816","4,4",74,"31 kiet 103 Nhật Lệ, Thuận Thành, Thành phố Huế, Thừa Thiên Huế"
Bánh ép Huệ,https://maps.app.goo.gl/uaFyoK6SR828iE5e7,https://thanhphohue.net/wp-content/uploads/2023/12/banh_ep_hue_09.jpg,"16.4358781,107.5300518","4,5",468,"118 Lê Ng. Cát, Thủy Xuân, Thành phố Huế, Thừa Thiên Huế, Việt Nam"
Bánh Bèo Nậm Lọc Bà Đỏ,https://maps.app.goo.gl/2tsV6GPhuKdwf5Gh6,https://www.cotrang.org/public/images/tin_dang/2/120_nha-hang-ba-do-08-nguyen-binh-khiem-hue-bk-4.jpg,"16.4724821,107.5647986",4,1358,"8 Nguyễn Bỉnh Khiêm, Phú Hiệp, Thành phố Huế, Thừa Thiên Huế"
Quán bánh O Lé,https://maps.app.goo.gl/qfcsSnqaL5eP3ccE8,https://cdn.eva.vn/upload/3-2021/images/2021-09-15/1631691349-267-thumbnail-width640height480_schema_article.jpg,"16.4609607,107.5235581","4,7",451,"Kiệt 104, 17/9 Kim Long, Thành phố Huế, Thừa Thiên Huế"
Quán O SỚM Đặc sản Bánh Bèo - Bánh Nậm - Bánh Lọc,https://maps.app.goo.gl/yHdw7sj7zHBMSaWRA,https://phuot3mien.com/wp-content/uploads/2021/07/quan-banh-beo-chi-o-hue-4.jpg,"16.4670671,107.5701374","4,6",19,"18 Hải Triều, An Cựu, Thành phố Huế, Thừa Thiên Huế"
"Bánh Bèo, Nậm, Lọc mệ Kim",https://maps.app.goo.gl/VA1B9naDgyjP3Rtx9,https://dulichkhampha24.com/wp-content/uploads/2021/04/banh-loc-Hue-c.jpg,"16.4646004,107.5798826",4,5,"42 Lê Lợi, Phú Hội, Thành phố Huế, Thừa Thiên Huế"
Quán Bà Sửu,https://maps.app.goo.gl/4sqJeuiB34mVvFio9,https://media-cdn-v2.laodong.vn/storage/newsportal/2023/12/7/1276969/Banh-Uot-16.jpg,"16.3307121,107.7494048","4,2",1878,"8PJX+7QJ, Lộc Sơn, Phú Lộc, Thừa Thiên Huế"
Bánh ướt Huyền Anh,https://maps.app.goo.gl/6QHuAKDE3z4AcN5g7,https://www.vietfuntravel.com.vn/image/data/Blog/AmThuc/Banh-uot-thit-nuong-Kim-Long/Banh-uot-thit-nuong-Kim-Long-h2.jpg,"16.4583834,107.5602589","4,3",1321,"50 Kim Long, Thành phố Huế, Thừa Thiên Huế"
Bánh ướt tôm chua,https://maps.app.goo.gl/Wjx8XR5bHJywGZCSA,https://khamphahue.com.vn/Portals/0/Medias/Nam2020/T11/Khamphahue_Banh-uot-tom-chua_mon-ngon-duong-pho-Hue-3.jpg,"16.4566813,107.5922317","4,8",6,"101 Phan Đình Phùng, Vĩnh Ninh, Thành phố Huế, Thừa Thiên Huế"
