Name,Interests,Mood,tripadvisor,img_url,Link_ggmap,Tọa độ,Vote,Reviews,Price,From,To,Địa Chỉ,,,,,,,
Suối tiên,89,19a,,https://btnmt.1cdn.vn/2023/04/19/101834653_3631441590208578_2508216939965745853_n.jpg,https://maps.app.goo.gl/3H2LRP9bhCHPXbca7,"13.5446865,104.7243038",3.1,109,142000,08:00,17:00,"thủy yên, Phú Lộc, Thừa Thiên Huế, Việt Nam",,,,,,,
Hải Vân Quan,10,19c,,https://static.vinwonders.com/production/hai-van-quan-2.jpg,https://maps.app.goo.gl/1MF98UXb5yjYSd778,"16.1875889,108.1287604",4.5,220,0,all time,all time,"54QJ+2GP, Hoà Hiệp Bắc, Phú Lộc, Thừa Thiên Huế, Vietnam",,,,,,,
Đèo Hải Vân,58,1789a,,https://storage.googleapis.com/hms_prod/hotel-content/img/457786xjr/161574-1.jpg,https://maps.app.goo.gl/VbuqvZKQoSj81xHeA,"16.20004,108.1127333",3.1,1755,0,all time,all time,"Lăng Cô, Phú Lộc, Thua Thien Hue, Vietnam",,,,,,,
Suối Mơ,8,19a,,https://image.vietgoing.com/editor/image_cdu1662743022.jpg,https://maps.app.goo.gl/S1fCdi9iRFfLkNik6,"16.2150829,108.0318925",3.1,380,12000,all time,all time,"TT. Lăng Cô, Phú Lộc, Thừa Thiên Huế",,,,,,,
Đầm Lập an,8,189,https://www.tripadvisor.com.vn/Attraction_Review-g11923533-d17546777-Reviews-Lap_An_Lagoon-Lang_Co_Phu_Loc_District_Thua_Thien_Hue_Province.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/2a/6e/e5/sunset-on-the-lap-an.jpg,https://maps.app.goo.gl/Wx3uDp41RJ44aeaw7,"16.2202156,108.0602887",3.1,3338,,,,,,,,,,,
"
View Point Lăng Cô",8,389a,,https://admin.vov.gov.vn/UploadFolder/KhoTin/Images/UploadFolder/VOVVN/Images/sites/default/files/styles/large/public/2024-05/p2._lang_co_bay_-_dulichkhamphahue.jpg,https://maps.app.goo.gl/SkTCoMGtwps8E8qH7,"16.2205603,108.0807166",3.1,243,0,all time,all time,"63GV+35G, TT. Lăng Cô, Phú Lộc, Thừa Thiên Huế",,,,,,,
Suối Bạch Mã,89,19a,,https://tourdanangcity.vn/wp-content/uploads/2020/08/bach-ma-village-suoi1.jpg,https://maps.app.goo.gl/HcReQpvq7mwbBCt76,"16.2350625,107.7277419",3.1,351,100000,08:00,21:30,"6VPC+2QQ, Lộc Trì, Phú Lộc, Thừa Thiên Huế 52000",,,,,,,
Suối Thác Nhị Hồ,8,19a,,https://thuathienhue.gov.vn/Portals/0/Medias/Nam2022/T8/NHIHO.jpg,https://maps.app.goo.gl/u7TQtr4poZ6DbP2Q9,"16.2362571,107.8956341",3.1,170,15000,all time,all time,"6VPW+G72 Huyện, Lộc Trì, Phú Lộc, Thừa Thiên Huế",,,,,,,
Suối khe su,8,19a,,https://addflag.com/images/user/2021/9/30/2131b6d3-ce8c-4923-948d-53e2fddb91e2/4423_dl2.jpg,https://maps.app.goo.gl/7mWCvkYxr26xvRhb6,"16.2364529,107.8792026",3.1,98,0,all time,all time,"6VPH+HMP, Lộc Trì, Phú Lộc, Thừa Thiên Huế",,,,,,,
Biển Lăng Cô,8,189,,https://ik.imagekit.io/tvlk/blog/2022/09/kinh-nghiem-du-lich-lang-co-1.jpg,https://maps.app.goo.gl/dteC559NMXtZLeey5,"16.2370459,108.0842146",3.1,15,0,all time,all time,"529 QL1, TT. Lăng Cô, Phú Lộc, Thừa Thiên Huế",,,,,,,
